STID,name,state,network,network_long,Wind Sensor Height (m),lat,lon,Start Time,End Time,obs_time,obs_time_years
HATUT,Hat Island,UT,UUNET,University of Utah MesoWest Mesonet,3.0,41.07073,-112.58621,1998-09-02T00:00:00Z,2025-04-04T22:00:00Z,9711 days 22:00:00,26.589778690394706
LMS,Locomotive Springs,UT,UUNET,University of Utah MesoWest Mesonet,3.0,41.70100,-112.86181,1999-07-02T00:00:00Z,2025-04-04T22:00:00Z,9408 days 22:00:00,25.76020990189368
LMR,Lakeside Mountain,UT,UUNET,University of Utah MesoWest Mesonet,3.0,41.06084,-112.89173,1999-12-16T00:00:00Z,2025-04-04T22:00:00Z,9241 days 22:00:00,25.302988820442618
JHR,JACKSON HOLE-RAYMER,WY,BTAVAL,Bridger Teton National Forest Avalanche Center,6.1,43.603815,-110.855884,1998-12-08T00:00:00Z,2025-04-04T21:45:00Z,9614 days 21:45:00,26.32417864476386
KMS,WOLF CREEK,UT,UTAH DOT,Utah Department of Transportation,4.57,40.5574,-111.1345,1999-01-01T00:00:00Z,2025-04-04T21:50:00Z,9590 days 21:50:00,26.258479732299033
AHTI,ASHTON,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,44.02500,-111.46667,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
BOII,BOISE,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,43.60028,-116.17667,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
FAFI,FAIRFIELD,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,43.30833,-114.82500,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
FTHI,FORT HALL,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,43.07139,-112.43111,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
GDVI,GRAND VIEW,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,42.91250,-116.05611,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
GFRI,GLENNS FERRY,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,42.86667,-115.35694,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
MALI,MALTA,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,42.43750,-113.41389,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
NMPI,NAMPA,ID,AGRIMET,U.S. Bureau of Reclamation,3.0,43.44167,-116.63694,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
