STID,name,state,network,network_long,Wind Sensor Height (m),lat,lon,Start Time,End Time,obs_time,obs_time_years
CWRN5,ALBINO CANYON,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.976610,-107.628920,1998-07-29T00:00:00Z,2025-04-04T21:26:00Z,9746 days 21:26:00,26.68553882424519
BATN5,BATDRAW,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.178610,-104.440560,2000-03-24T00:00:00Z,2025-04-04T21:52:00Z,9142 days 21:52:00,25.031926382234392
MGNN5,MOGOLLON,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.390640,-108.808190,1999-08-06T00:00:00Z,2025-04-04T21:13:00Z,9373 days 21:13:00,25.664295763936423
BDAN5,BOSQUE,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.821000,-106.881890,1998-07-30T00:00:00Z,2025-04-04T21:50:00Z,9745 days 21:50:00,26.68284660430451
ACON5,BRUSHY MOUNTAIN,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,34.720000,-107.8484,1998-07-29T00:00:00Z,2025-04-04T21:49:00Z,9746 days 21:49:00,26.685582553806373
CPPN5,CAPROCK,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.927280,-103.856890,1998-07-29T00:00:00Z,2025-04-04T21:40:00Z,9746 days 21:40:00,26.685565442238953
BCHN5,CHUPADERA,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.772940,-106.098580,1998-07-29T00:00:00Z,2025-04-04T21:39:00Z,9746 days 21:39:00,26.685563540953684
COYN5,COYOTE,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,36.073330,-106.657390,1998-07-29T00:00:00Z,2025-04-04T21:48:00Z,9746 days 21:48:00,26.685580652521104
CBBN5,CUBA,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,35.942000,-107.077390,1998-07-29T00:00:00Z,2025-04-04T21:41:00Z,9746 days 21:41:00,26.685567343524223
LOMN5,DRIPPING SPRINGS,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.322250,-106.586610,1999-08-06T00:00:00Z,2025-04-04T21:26:00Z,9373 days 21:26:00,25.664320480644918
DUNN5,DUNKEN,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,32.824670,-105.182610,1999-08-06T00:00:00Z,2025-04-04T21:36:00Z,9373 days 21:36:00,25.664339493497604
REMN5,EIGHT MILE DRAW,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.650640,-104.321390,1999-08-06T00:00:00Z,2025-04-04T21:37:00Z,9373 days 21:37:00,25.664341394782873
GNMN5,GILA CENTER RAWS,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,33.223610,-108.240280,1999-08-06T00:00:00Z,2025-04-04T21:13:00Z,9373 days 21:13:00,25.664295763936423
HHRN5,HACHITA VALLEY,NM,RAWS,Interagency Remote Automatic Weather Stations,6.1,31.702000,-108.341690,1999-08-06T00:00:00Z,2025-04-04T21:40:00Z,9373 days 21:40:00,25.66434709863868
