STID,Wind Sensor Height (m),Provider,Start Time,End Time,obs_time,obs_time_years
HATUT,3.0,"U of U MesoWest Group, Utah Department of Natural Resources",1998-09-02T00:00:00Z,2025-04-04T22:00:00Z,9711 days 22:00:00,26.589778690394706
LMS,3.0,U of U MesoWest Group,1999-07-02T00:00:00Z,2025-04-04T22:00:00Z,9408 days 22:00:00,25.76020990189368
LMR,3.0,U of U MesoWest Group,1999-12-16T00:00:00Z,2025-04-04T22:00:00Z,9241 days 22:00:00,25.302988820442618
JHR,6.1,Jackson Hole Mountain Resort,1998-12-08T00:00:00Z,2025-04-04T21:45:00Z,9614 days 21:45:00,26.32417864476386
KMS,4.57,Utah Department of Transportation,1999-01-01T00:00:00Z,2025-04-04T21:50:00Z,9590 days 21:50:00,26.258479732299033
AHTI,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
BOII,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
FAFI,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T20:30:00Z,9250 days 20:30:00,25.327458361852614
FTHI,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
GDVI,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
GFRI,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
MALI,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
NMPI,3.0,U.S. Bureau of Reclamation Pacific Northwest Region,1999-12-07T00:00:00Z,2025-04-04T21:00:00Z,9250 days 21:00:00,25.32751540041068
